CHAIN,WEEK_START,NEW_TOKENS_COUNT
Optimism,2023-06-19 00:00:00.000,9
Optimism,2023-06-26 00:00:00.000,2
Optimism,2023-07-03 00:00:00.000,5
Optimism,2023-07-10 00:00:00.000,6
Optimism,2023-07-17 00:00:00.000,12
Optimism,2023-07-24 00:00:00.000,8
Optimism,2023-07-31 00:00:00.000,14
Optimism,2023-08-07 00:00:00.000,15
Optimism,2023-08-14 00:00:00.000,513
Optimism,2023-08-21 00:00:00.000,6
Optimism,2023-08-28 00:00:00.000,12
Optimism,2023-09-04 00:00:00.000,8
Optimism,2023-09-11 00:00:00.000,11
Optimism,2023-09-18 00:00:00.000,18
Optimism,2023-09-25 00:00:00.000,3
Optimism,2023-10-02 00:00:00.000,9
Optimism,2023-10-09 00:00:00.000,20
Optimism,2023-10-16 00:00:00.000,34
Optimism,2023-10-23 00:00:00.000,14
Optimism,2023-10-30 00:00:00.000,3
Optimism,2023-11-06 00:00:00.000,34
Optimism,2023-11-13 00:00:00.000,19
Optimism,2023-11-20 00:00:00.000,13
Optimism,2023-11-27 00:00:00.000,5
Optimism,2023-12-04 00:00:00.000,10
Optimism,2023-12-11 00:00:00.000,5
Optimism,2023-12-18 00:00:00.000,25
Optimism,2023-12-25 00:00:00.000,10
Optimism,2024-01-01 00:00:00.000,17
Optimism,2024-01-08 00:00:00.000,18
Optimism,2024-01-15 00:00:00.000,4
Polygon,2021-12-20 00:00:00.000,214
Polygon,2021-12-27 00:00:00.000,103
Polygon,2022-01-03 00:00:00.000,81
Polygon,2022-01-10 00:00:00.000,99
Polygon,2022-01-17 00:00:00.000,70
Polygon,2022-01-24 00:00:00.000,72
Polygon,2022-01-31 00:00:00.000,81
Polygon,2022-02-07 00:00:00.000,72
Polygon,2022-02-14 00:00:00.000,67
Polygon,2022-02-21 00:00:00.000,74
Polygon,2022-02-28 00:00:00.000,75
Polygon,2022-03-07 00:00:00.000,71
Polygon,2022-03-14 00:00:00.000,74
Polygon,2022-03-21 00:00:00.000,48
Polygon,2022-03-28 00:00:00.000,74
Polygon,2022-04-04 00:00:00.000,57
Polygon,2022-04-11 00:00:00.000,39
Polygon,2022-04-18 00:00:00.000,70
Polygon,2022-04-25 00:00:00.000,89
Polygon,2022-05-02 00:00:00.000,61
Polygon,2022-05-09 00:00:00.000,68
Polygon,2022-05-16 00:00:00.000,59
Polygon,2022-05-23 00:00:00.000,57
Polygon,2022-05-30 00:00:00.000,61
Polygon,2022-06-06 00:00:00.000,76
Polygon,2022-06-13 00:00:00.000,50
Polygon,2022-06-20 00:00:00.000,66
