CHAIN,WEEK_START,AVG_TIME_DIFF_SECONDS
Base,2023-10-23 00:00:00.000,4.42099
Optimism,2023-10-23 00:00:00.000,1.662581
Polygon,2023-10-23 00:00:00.000,0.808103
Arbitrum,2023-10-30 00:00:00.000,0.846672
Avalanche,2023-10-30 00:00:00.000,14.125464
BSC,2023-10-30 00:00:00.000,4.448481
Base,2023-10-30 00:00:00.000,6.244489
Optimism,2023-10-30 00:00:00.000,2.227724
Polygon,2023-10-30 00:00:00.000,0.82528
Arbitrum,2023-11-06 00:00:00.000,0.690135
Avalanche,2023-11-06 00:00:00.000,6.626848
BSC,2023-11-06 00:00:00.000,3.704326
Base,2023-11-06 00:00:00.000,8.261993
Optimism,2023-11-06 00:00:00.000,1.713659
Polygon,2023-11-06 00:00:00.000,0.653823
Arbitrum,2023-11-13 00:00:00.000,0.858077
Avalanche,2023-11-13 00:00:00.000,5.323499
BSC,2023-11-13 00:00:00.000,3.237412
Base,2023-11-13 00:00:00.000,6.617883
Optimism,2023-11-13 00:00:00.000,1.595561
Polygon,2023-11-13 00:00:00.000,0.572908
Arbitrum,2023-11-20 00:00:00.000,1.071958
Avalanche,2023-11-20 00:00:00.000,18.772177
BSC,2023-11-20 00:00:00.000,3.081277
Base,2023-11-20 00:00:00.000,6.7849
Optimism,2023-11-20 00:00:00.000,1.610889
Polygon,2023-11-20 00:00:00.000,0.753313
Arbitrum,2023-11-27 00:00:00.000,1.295016
Avalanche,2023-11-27 00:00:00.000,16.295075
BSC,2023-11-27 00:00:00.000,3.99628
Base,2023-11-27 00:00:00.000,7.619775
Optimism,2023-11-27 00:00:00.000,2.187368
Polygon,2023-11-27 00:00:00.000,0.887581
Arbitrum,2023-12-04 00:00:00.000,0.847824
Avalanche,2023-12-04 00:00:00.000,9.599137
BSC,2023-12-04 00:00:00.000,2.659955
Base,2023-12-04 00:00:00.000,6.405113
Optimism,2023-12-04 00:00:00.000,1.300111
Polygon,2023-12-04 00:00:00.000,0.669043
Arbitrum,2023-12-11 00:00:00.000,0.902029
Avalanche,2023-12-11 00:00:00.000,10.64596
BSC,2023-12-11 00:00:00.000,2.627729
Base,2023-12-11 00:00:00.000,4.902626
Optimism,2023-12-11 00:00:00.000,1.370897
Polygon,2023-12-11 00:00:00.000,0.760202
Arbitrum,2023-12-18 00:00:00.000,0.726958
Avalanche,2023-12-18 00:00:00.000,25.162922
BSC,2023-12-18 00:00:00.000,2.691804
Base,2023-12-18 00:00:00.000,5.235638
Optimism,2023-12-18 00:00:00.000,1.001688
Polygon,2023-12-18 00:00:00.000,0.633529
Arbitrum,2023-12-25 00:00:00.000,0.601135
Avalanche,2023-12-25 00:00:00.000,11.146167
BSC,2023-12-25 00:00:00.000,2.314569
Base,2023-12-25 00:00:00.000,4.912822
Optimism,2023-12-25 00:00:00.000,1.110756
Polygon,2023-12-25 00:00:00.000,0.519435
Arbitrum,2024-01-01 00:00:00.000,0.49383
Avalanche,2024-01-01 00:00:00.000,11.654584
BSC,2024-01-01 00:00:00.000,2.16845
Base,2024-01-01 00:00:00.000,5.466674
Optimism,2024-01-01 00:00:00.000,1.08296
Polygon,2024-01-01 00:00:00.000,0.625643
Arbitrum,2024-01-08 00:00:00.000,0.453769
Avalanche,2024-01-08 00:00:00.000,10.213124
BSC,2024-01-08 00:00:00.000,1.771539
Base,2024-01-08 00:00:00.000,3.716906
Optimism,2024-01-08 00:00:00.000,1.101525
Polygon,2024-01-08 00:00:00.000,0.49469
Arbitrum,2024-01-15 00:00:00.000,0.793315
Avalanche,2024-01-15 00:00:00.000,16.330073
BSC,2024-01-15 00:00:00.000,2.18315
Base,2024-01-15 00:00:00.000,5.698076
Optimism,2024-01-15 00:00:00.000,1.311597
Polygon,2024-01-15 00:00:00.000,0.676002
﻿
