WEEK,CHAIN,UNIQUE_USERS,ACTIVE_POOLS,TOTAL_VOLUME,AVG_VOLUME,MEDIAN_VOLUME,CUMU_VOLUME
2022-12-12 00:00:00.000,Arbitrum,66877,374,89836942.1,655.184565736,0.07,2945618039.46
2022-12-12 00:00:00.000,Optimism,75376,229,48438873.52,379.95147364,63.75,2559213373.75
2022-12-12 00:00:00.000,Polygon,69587,1048,325117581.98,921.344455314,87.24,24326462701.07
2022-12-19 00:00:00.000,Arbitrum,56443,338,35198013.48,334.740974608,0.09,2980816052.94
2022-12-19 00:00:00.000,Optimism,75022,211,22742802.71,250.664639149,46.445,2581956176.46
2022-12-19 00:00:00.000,Polygon,65592,1044,191531574.12,708.140888006,39.88,24517994275.19
2022-12-26 00:00:00.000,Arbitrum,43430,342,25752102.35,397.924815347,0.26,3006568155.29
2022-12-26 00:00:00.000,Optimism,81225,219,15136512.77,190.033053407,22.91,2597092689.23
2022-12-26 00:00:00.000,Polygon,61598,973,137266293.34,551.677919989,24.34,24655260568.53
2023-01-02 00:00:00.000,Arbitrum,57619,376,38278349.22,479.594422282,0.13,3044846504.51
2023-01-02 00:00:00.000,Optimism,97001,241,44964856.75,397.662189471,62.3,2642057545.98
2023-01-02 00:00:00.000,Polygon,51599,969,161842798.93,664.993524109,38.96,24817103367.46
2023-01-09 00:00:00.000,Arbitrum,61887,399,79517422.56,994.825819269,13.34,3124363927.07
2023-01-09 00:00:00.000,Optimism,109078,254,109374180.96,426.586351319,64.04,2751431726.94
2023-01-09 00:00:00.000,Polygon,55009,1067,496614179.33,1092.698927421,153.74,25313717546.79
2023-01-16 00:00:00.000,Arbitrum,44185,392,88636576.19,1015.379936651,24.96,3213000503.26
2023-01-16 00:00:00.000,Optimism,59937,246,108201561.21,508.246252607,110.83,2859633288.15
2023-01-16 00:00:00.000,Polygon,53743,1052,514540388.75,1087.200332896,164.69,25828257935.54
2023-01-23 00:00:00.000,Arbitrum,42211,390,123678766.19,1238.000902785,77.835,3336679269.45
2023-01-23 00:00:00.000,Optimism,29501,238,120065792.38,605.897156771,123.34,2979699080.53
2023-01-23 00:00:00.000,Polygon,56660,1003,602650312.97,1141.065485499,210.91,26430908248.51
2023-01-30 00:00:00.000,Arbitrum,63117,475,155543002.11,1104.387231772,32.93,3492222271.56
2023-01-30 00:00:00.000,Optimism,35657,251,156646139.41,750.400667832,127.81,3136345219.94
2023-01-30 00:00:00.000,Polygon,60137,1071,580794350.86,1308.481445787,196,27011702599.37
2023-02-06 00:00:00.000,Arbitrum,72027,484,177057532.34,971.535747702,27.38,3669279803.9
2023-02-06 00:00:00.000,Optimism,53211,251,128279972.06,765.928315471,111.61,3264625192
2023-02-06 00:00:00.000,Polygon,56409,985,717869272.37,1518.31354521,315,27729571871.74
2023-02-13 00:00:00.000,Arbitrum,83432,552,263657470.52,1268.865058569,101.26,3932937274.42
2023-02-13 00:00:00.000,Optimism,40029,270,113856776.99,818.771857714,127.07,3378481968.99
2023-02-13 00:00:00.000,Polygon,61269,1009,820757461.01,1737.920868434,343.52,28550329332.75
2023-02-20 00:00:00.000,Arbitrum,93640,546,182011257.45,933.788522551,29.77,4114948531.87
2023-02-20 00:00:00.000,Optimism,47306,286,183685031.64,907.082096582,147.79,3562167000.63
