WEEK,CHAIN,ACTIVE_USERS,CUMU_ACTIVE_USERS,SWAP_COUNT,CUMU_TXN_COUNT,TXN_PER_USER,PREV_WEEK_ACTIVE_USERS,RETENTION_RATE
2022-08-01 00:00:00.000,Polygon,53515,1921943,340025,10942592,6.353826,56846,94.14
2022-08-08 00:00:00.000,Arbitrum,19165,524100,82407,2025873,4.29987,19588,97.84
2022-08-08 00:00:00.000,Optimism,18248,430269,260120,6494288,14.254713,21224,85.98
2022-08-08 00:00:00.000,Polygon,60203,1982146,357090,11299682,5.931432,53515,112.5
2022-08-15 00:00:00.000,Arbitrum,14908,539008,78286,2104159,5.251274,19165,77.79
2022-08-15 00:00:00.000,Optimism,20683,450952,322174,6816462,15.576754,18248,113.34
2022-08-15 00:00:00.000,Polygon,65184,2047330,443286,11742968,6.800534,60203,108.27
2022-08-22 00:00:00.000,Arbitrum,24182,563190,123673,2227832,5.114259,14908,162.21
2022-08-22 00:00:00.000,Optimism,13617,464569,260358,7076820,19.120071,20683,65.84
2022-08-22 00:00:00.000,Polygon,57560,2104890,405449,12148417,7.043937,65184,88.3
2022-08-29 00:00:00.000,Arbitrum,48478,611668,235773,2463605,4.863505,24182,200.47
2022-08-29 00:00:00.000,Optimism,18272,482841,274587,7351407,15.027747,13617,134.19
2022-08-29 00:00:00.000,Polygon,56026,2160916,397902,12546319,7.102095,57560,97.34
2022-09-05 00:00:00.000,Arbitrum,46094,657762,238869,2702474,5.182215,48478,95.08
2022-09-05 00:00:00.000,Optimism,13894,496735,293885,7645292,21.151936,18272,76.04
2022-09-05 00:00:00.000,Polygon,55661,2216577,422543,12968862,7.591366,56026,99.35
2022-09-12 00:00:00.000,Arbitrum,40179,697941,212181,2914655,5.280893,46094,87.17
2022-09-12 00:00:00.000,Optimism,17489,514224,325230,7970522,18.596261,13894,125.87
2022-09-12 00:00:00.000,Polygon,64049,2280626,489233,13458095,7.638417,55661,115.07
2022-09-19 00:00:00.000,Arbitrum,38832,736773,276993,3191648,7.133112,40179,96.65
2022-09-19 00:00:00.000,Optimism,34733,548957,468195,8438717,13.479832,17489,198.6
2022-09-19 00:00:00.000,Polygon,56027,2336653,591543,14049638,10.558177,64049,87.48
2022-09-26 00:00:00.000,Arbitrum,35333,772106,263407,3455055,7.454985,38832,90.99
2022-09-26 00:00:00.000,Optimism,33635,582592,336257,8774974,9.997235,34733,96.84
2022-09-26 00:00:00.000,Polygon,55638,2392291,522851,14572489,9.397372,56027,99.31
2022-10-03 00:00:00.000,Arbitrum,37110,809216,248778,3703833,6.7038,35333,105.03
2022-10-03 00:00:00.000,Optimism,32946,615538,214135,8989109,6.499575,33635,97.95
2022-10-03 00:00:00.000,Polygon,51246,2443537,423352,14995841,8.261172,55638,92.11
2022-10-10 00:00:00.000,Arbitrum,31421,840637,209046,3912879,6.653066,37110,84.67
2022-10-10 00:00:00.000,Optimism,28877,644415,229551,9218660,7.949268,32946,87.65
2022-10-10 00:00:00.000,Polygon,49035,2492572,396962,15392803,8.095483,51246,95.69
2022-10-17 00:00:00.000,Arbitrum,55874,896511,398997,4311876,7.141014,31421,177.82
2022-10-17 00:00:00.000,Optimism,29889,674304,241573,9460233,8.082338,28877,103.5
2022-10-17 00:00:00.000,Polygon,50298,2542870,363683,15756486,7.230566,49035,102.58
2022-10-24 00:00:00.000,Arbitrum,88155,984666,526356,4838232,5.970801,55874,157.77
2022-10-24 00:00:00.000,Optimism,37289,711593,401621,9861854,10.770495,29889,124.76
2022-10-24 00:00:00.000,Polygon,65056,2607926,512266,16268752,7.874231,50298,129.34
2022-10-31 00:00:00.000,Arbitrum,77976,1062642,446745,5284977,5.729263,88155,88.45
2022-10-31 00:00:00.000,Optimism,45492,757085,463596,10325450,10.190715,37289,122
2022-10-31 00:00:00.000,Polygon,72689,2680615,617519,16886271,8.495357,65056,111.73
2022-11-07 00:00:00.000,Arbitrum,83274,1145916,608011,5892988,7.301331,77976,106.79
2022-11-07 00:00:00.000,Optimism,54831,811916,648412,10973862,11.825646,45492,120.53
2022-11-07 00:00:00.000,Polygon,90212,2770827,1095916,17982187,12.148229,72689,124.11
2022-11-14 00:00:00.000,Arbitrum,66679,1212595,345223,6238211,5.177387,83274,80.07
2022-11-14 00:00:00.000,Optimism,54271,866187,363687,11337549,6.701314,54831,98.98
2022-11-14 00:00:00.000,Polygon,79671,2850498,597328,18579515,7.497433,90212,88.32
2022-11-21 00:00:00.000,Arbitrum,70509,1283104,341440,6579651,4.842502,66679,105.74
2022-11-21 00:00:00.000,Optimism,59340,925527,387143,11724692,6.524149,54271,109.34
2022-11-21 00:00:00.000,Polygon,75719,2926217,533573,19113088,7.046752,79671,95.04
2022-11-28 00:00:00.000,Arbitrum,72960,1356064,332778,6912429,4.561102,70509,103.48
2022-11-28 00:00:00.000,Optimism,50478,976005,326534,12051226,6.468838,59340,85.07
2022-11-28 00:00:00.000,Polygon,65600,2991817,437030,19550118,6.662043,75719,86.64
2022-12-05 00:00:00.000,Arbitrum,57030,1413094,256941,7169370,4.505366,72960,78.17
2022-12-05 00:00:00.000,Optimism,61533,1037538,334531,12385757,5.436611,50478,121.9
2022-12-05 00:00:00.000,Polygon,62983,3054800,323833,19873951,5.141594,65600,96.01
2022-12-12 00:00:00.000,Arbitrum,66877,1479971,304408,7473778,4.551759,57030,117.27
2022-12-12 00:00:00.000,Optimism,75376,1112914,413456,12799213,5.485247,61533,122.5
2022-12-12 00:00:00.000,Polygon,69587,3124387,372979,20246930,5.359895,62983,110.49
2022-12-19 00:00:00.000,Arbitrum,56443,1536414,240341,7714119,4.258119,66877,84.4
2022-12-19 00:00:00.000,Optimism,75022,1187936,368007,13167220,4.905321,75376,99.53
2022-12-19 00:00:00.000,Polygon,65592,3189979,308267,20555197,4.699765,69587,94.26
2022-12-26 00:00:00.000,Arbitrum,43430,1579844,161897,7876016,3.727769,56443,76.94
2022-12-26 00:00:00.000,Optimism,81225,1269161,379462,13546682,4.671739,75022,108.27
2022-12-26 00:00:00.000,Polygon,61598,3251577,293268,20848465,4.760999,65592,93.91
2023-01-02 00:00:00.000,Arbitrum,57619,1637463,204729,8080745,3.553151,43430,132.67
2023-01-02 00:00:00.000,Optimism,97001,1366162,498888,14045570,5.143122,81225,119.42
2023-01-02 00:00:00.000,Polygon,51599,3303176,270472,21118937,5.241807,61598,83.77
2023-01-09 00:00:00.000,Arbitrum,61887,1699350,262698,8343443,4.244801,57619,107.41
2023-01-09 00:00:00.000,Optimism,109078,1475240,761283,14806853,6.979253,97001,112.45
2023-01-09 00:00:00.000,Polygon,55009,3358185,466823,21585760,8.486302,51599,106.61
2023-01-16 00:00:00.000,Arbitrum,44185,1743535,251020,8594463,5.681114,61887,71.4
2023-01-16 00:00:00.000,Optimism,59937,1535177,494908,15301761,8.257137,109078,54.95
2023-01-16 00:00:00.000,Polygon,53743,3411928,487760,22073520,9.075787,55009,97.7
2023-01-23 00:00:00.000,Arbitrum,42211,1785746,253624,8848087,6.008481,44185,95.53
2023-01-23 00:00:00.000,Optimism,29501,1564678,377526,15679287,12.797058,59937,49.22
2023-01-23 00:00:00.000,Polygon,56660,3468588,552365,22625885,9.748765,53743,105.43
2023-01-30 00:00:00.000,Arbitrum,63117,1848863,339838,9187925,5.384255,42211,149.53
2023-01-30 00:00:00.000,Optimism,35657,1600335,402433,16081720,11.286227,29501,120.87
2023-01-30 00:00:00.000,Polygon,60137,3528725,491319,23117204,8.169995,56660,106.14
2023-02-06 00:00:00.000,Arbitrum,72027,1920890,415974,9603899,5.775251,63117,114.12
2023-02-06 00:00:00.000,Optimism,53211,1653546,376457,16458177,7.074797,35657,149.23
2023-02-06 00:00:00.000,Polygon,56409,3585134,520922,23638126,9.234732,60137,93.8
2023-02-13 00:00:00.000,Arbitrum,83432,2004322,494095,10097994,5.922128,72027,115.83
2023-02-13 00:00:00.000,Optimism,40029,1693575,352397,16810574,8.803542,53211,75.23
2023-02-13 00:00:00.000,Polygon,61269,3646403,514829,24152955,8.402765,56409,108.62
2023-02-20 00:00:00.000,Arbitrum,93640,2097962,532213,10630207,5.683607,83432,112.24
2023-02-20 00:00:00.000,Optimism,47306,1740881,404323,17214897,8.546971,40029,118.18
2023-02-20 00:00:00.000,Polygon,67284,3713687,467285,24620240,6.944965,61269,109.82
2023-02-27 00:00:00.000,Arbitrum,81412,2179374,414435,11044642,5.090589,93640,86.94
2023-02-27 00:00:00.000,Optimism,35936,1776817,295543,17510440,8.224148,47306,75.97
2023-02-27 00:00:00.000,Polygon,69005,3782692,404643,25024883,5.863966,67284,102.56
2023-03-06 00:00:00.000,Arbitrum,81111,2260485,461362,11506004,5.688032,81412,99.63
2023-03-06 00:00:00.000,BSC,4,4,39,39,9.75,"null","null"
2023-03-06 00:00:00.000,Optimism,37611,1814428,378946,17889386,10.075403,35936,104.66
2023-03-06 00:00:00.000,Polygon,65997,3848689,545077,25569960,8.259118,69005,95.64
2023-03-13 00:00:00.000,Arbitrum,103551,2364036,628017,12134021,6.064809,81111,127.67
2023-03-13 00:00:00.000,BSC,19523,19527,39957,39996,2.046663,4,488075
2023-03-13 00:00:00.000,Optimism,46500,1860928,546343,18435729,11.749312,37611,123.63
2023-03-13 00:00:00.000,Polygon,65348,3914037,574087,26144047,8.785074,65997,99.02
2023-03-20 00:00:00.000,Arbitrum,191461,2555497,890577,13024598,4.65148,103551,184.9
2023-03-20 00:00:00.000,BSC,47924,67451,94082,134078,1.96315,19523,245.47
2023-03-20 00:00:00.000,Optimism,42300,1903228,384664,18820393,9.093712,46500,90.97
2023-03-20 00:00:00.000,Polygon,70069,3984106,497184,26641231,7.095634,65348,107.22
2023-03-27 00:00:00.000,Arbitrum,163909,2719406,879778,13904376,5.367478,191461,85.61
2023-03-27 00:00:00.000,BSC,43442,110893,87971,222049,2.025022,47924,90.65
2023-03-27 00:00:00.000,Optimism,50020,1953248,316220,19136613,6.321871,42300,118.25
2023-03-27 00:00:00.000,Polygon,83192,4067298,444724,27085955,5.345754,70069,118.73
2023-04-03 00:00:00.000,Arbitrum,182100,2901506,708702,14613078,3.891829,163909,111.1
2023-04-03 00:00:00.000,BSC,43474,154367,87692,309741,2.017114,43442,100.07
2023-04-03 00:00:00.000,Optimism,73231,2026479,307283,19443896,4.196078,50020,146.4
2023-04-03 00:00:00.000,Polygon,80645,4147943,374260,27460215,4.640833,83192,96.94
2023-04-10 00:00:00.000,Arbitrum,221047,3122553,890823,15503901,4.030016,182100,121.39
