WEEK,CHAIN,NEW_USERS,CUMU_NEW_USERS
2023-04-24 00:00:00.000,Arbitrum,90512,1323046
2023-04-24 00:00:00.000,BSC,35080,228293
2023-04-24 00:00:00.000,Optimism,22953,827247
2023-04-24 00:00:00.000,Polygon,31943,1605797
2023-05-01 00:00:00.000,Arbitrum,70187,1393233
2023-05-01 00:00:00.000,BSC,30509,258802
2023-05-01 00:00:00.000,Optimism,13623,840870
2023-05-01 00:00:00.000,Polygon,27775,1633572
2023-05-08 00:00:00.000,Arbitrum,74908,1468141
2023-05-08 00:00:00.000,BSC,30774,289576
2023-05-08 00:00:00.000,Optimism,14441,855311
2023-05-08 00:00:00.000,Polygon,31322,1664894
2023-05-15 00:00:00.000,Arbitrum,76555,1544696
2023-05-15 00:00:00.000,BSC,34558,324134
2023-05-15 00:00:00.000,Optimism,23112,878423
2023-05-15 00:00:00.000,Polygon,36691,1701585
2023-05-22 00:00:00.000,Arbitrum,103571,1648267
2023-05-22 00:00:00.000,BSC,53354,377488
2023-05-22 00:00:00.000,Optimism,28828,907251
2023-05-22 00:00:00.000,Polygon,37783,1739368
2023-05-29 00:00:00.000,Arbitrum,93546,1741813
2023-05-29 00:00:00.000,BSC,52340,429828
2023-05-29 00:00:00.000,Optimism,36297,943548
2023-05-29 00:00:00.000,Polygon,45861,1785229
2023-06-05 00:00:00.000,Arbitrum,72686,1814499
2023-06-05 00:00:00.000,BSC,57819,487647
2023-06-05 00:00:00.000,Optimism,32024,975572
2023-06-05 00:00:00.000,Polygon,42027,1827256
2023-06-12 00:00:00.000,Arbitrum,69019,1883518
2023-06-12 00:00:00.000,BSC,47476,535123
2023-06-12 00:00:00.000,Optimism,39217,1014789
2023-06-12 00:00:00.000,Polygon,55977,1883233
2023-06-19 00:00:00.000,Arbitrum,65416,1948934
2023-06-19 00:00:00.000,Avalanche,7,7
2023-06-19 00:00:00.000,BSC,38998,574121
2023-06-19 00:00:00.000,Optimism,42661,1057450
2023-06-19 00:00:00.000,Polygon,51181,1934414
2023-06-26 00:00:00.000,Arbitrum,74802,2023736
2023-06-26 00:00:00.000,Avalanche,6,13
2023-06-26 00:00:00.000,BSC,35929,610050
2023-06-26 00:00:00.000,Optimism,51413,1108863
2023-06-26 00:00:00.000,Polygon,62269,1996683
2023-07-03 00:00:00.000,Arbitrum,56700,2080436
2023-07-03 00:00:00.000,Avalanche,8,21
2023-07-03 00:00:00.000,BSC,29614,639664
2023-07-03 00:00:00.000,Optimism,49240,1158103
2023-07-03 00:00:00.000,Polygon,52111,2048794
2023-07-10 00:00:00.000,Arbitrum,54754,2135190
2023-07-10 00:00:00.000,Avalanche,921,942
2023-07-10 00:00:00.000,BSC,37430,677094
2023-07-10 00:00:00.000,Optimism,47681,1205784
2023-07-10 00:00:00.000,Polygon,50648,2099442
2023-07-17 00:00:00.000,Arbitrum,47897,2183087
2023-07-17 00:00:00.000,Avalanche,10264,11206
2023-07-17 00:00:00.000,BSC,36762,713856
2023-07-17 00:00:00.000,Optimism,40933,1246717
2023-07-17 00:00:00.000,Polygon,52102,2151544
2023-07-24 00:00:00.000,Arbitrum,38349,2221436
2023-07-24 00:00:00.000,Avalanche,12866,24072
2023-07-24 00:00:00.000,BSC,34966,748822
2023-07-24 00:00:00.000,Optimism,46908,1293625
2023-07-24 00:00:00.000,Polygon,43109,2194653
2023-07-31 00:00:00.000,Arbitrum,34065,2255501
2023-07-31 00:00:00.000,Avalanche,9474,33546
2023-07-31 00:00:00.000,BSC,39035,787857
2023-07-31 00:00:00.000,Base,21,21
2023-07-31 00:00:00.000,Optimism,34017,1327642
2023-07-31 00:00:00.000,Polygon,42000,2236653
2023-08-07 00:00:00.000,Arbitrum,33239,2288740
2023-08-07 00:00:00.000,Avalanche,8482,42028
2023-08-07 00:00:00.000,BSC,33411,821268
2023-08-07 00:00:00.000,Base,19330,19351
2023-08-07 00:00:00.000,Optimism,30256,1357898
2023-08-07 00:00:00.000,Polygon,34567,2271220
2023-08-14 00:00:00.000,Arbitrum,34201,2322941
2023-08-14 00:00:00.000,Avalanche,8495,50523
2023-08-14 00:00:00.000,BSC,26360,847628
2023-08-14 00:00:00.000,Base,18836,38187
2023-08-14 00:00:00.000,Optimism,23042,1380940
2023-08-14 00:00:00.000,Polygon,26720,2297940
2023-08-21 00:00:00.000,Arbitrum,22326,2345267
2023-08-21 00:00:00.000,Avalanche,7241,57764
2023-08-21 00:00:00.000,BSC,20735,868363
2023-08-21 00:00:00.000,Base,44004,82191
2023-08-21 00:00:00.000,Optimism,23243,1404183
2023-08-21 00:00:00.000,Polygon,25957,2323897
2023-08-28 00:00:00.000,Arbitrum,22008,2367275
2023-08-28 00:00:00.000,Avalanche,4994,62758
2023-08-28 00:00:00.000,BSC,19095,887458
2023-08-28 00:00:00.000,Base,18206,100397
2023-08-28 00:00:00.000,Optimism,17975,1422158
2023-08-28 00:00:00.000,Polygon,22787,2346684
2023-09-04 00:00:00.000,Arbitrum,19672,2386947
2023-09-04 00:00:00.000,Avalanche,4073,66831
2023-09-04 00:00:00.000,BSC,17190,904648
2023-09-04 00:00:00.000,Base,13038,113435
2023-09-04 00:00:00.000,Optimism,15755,1437913
2023-09-04 00:00:00.000,Polygon,18131,2364815
2023-09-11 00:00:00.000,Arbitrum,17091,2404038
2023-09-11 00:00:00.000,Avalanche,3236,70067
2023-09-11 00:00:00.000,BSC,18323,922971
2023-09-11 00:00:00.000,Base,17420,130855
2023-09-11 00:00:00.000,Optimism,19201,1457114
2023-09-11 00:00:00.000,Polygon,17342,2382157
2023-09-18 00:00:00.000,Arbitrum,18346,2422384
2023-09-18 00:00:00.000,Avalanche,3684,73751
2023-09-18 00:00:00.000,BSC,18795,941766
2023-09-18 00:00:00.000,Base,13912,144767
2023-09-18 00:00:00.000,Optimism,18719,1475833
2023-09-18 00:00:00.000,Polygon,20616,2402773
2023-09-25 00:00:00.000,Arbitrum,20357,2442741
2023-09-25 00:00:00.000,Avalanche,3103,76854
2023-09-25 00:00:00.000,BSC,17320,959086
2023-09-25 00:00:00.000,Base,17119,161886
2023-09-25 00:00:00.000,Optimism,23666,1499499
2023-09-25 00:00:00.000,Polygon,18882,2421655
2023-10-02 00:00:00.000,Arbitrum,20416,2463157
2023-10-02 00:00:00.000,Avalanche,3439,80293
2023-10-02 00:00:00.000,BSC,21738,980824
2023-10-02 00:00:00.000,Base,15680,177566
2023-10-02 00:00:00.000,Optimism,11893,1511392
2023-10-02 00:00:00.000,Polygon,14568,2436223
2023-10-09 00:00:00.000,Arbitrum,15646,2478803
2023-10-09 00:00:00.000,Avalanche,2579,82872
2023-10-09 00:00:00.000,BSC,15022,995846
2023-10-09 00:00:00.000,Base,17766,195332
2023-10-09 00:00:00.000,Optimism,10075,1521467
2023-10-09 00:00:00.000,Polygon,18541,2454764
2023-10-16 00:00:00.000,Arbitrum,16486,2495289
2023-10-16 00:00:00.000,Avalanche,2373,85245
2023-10-16 00:00:00.000,BSC,14774,1010620
2023-10-16 00:00:00.000,Base,18547,213879
2023-10-16 00:00:00.000,Optimism,10404,1531871
2023-10-16 00:00:00.000,Polygon,25405,2480169
2023-10-23 00:00:00.000,Arbitrum,41366,2536655
2023-10-23 00:00:00.000,Avalanche,2924,88169
2023-10-23 00:00:00.000,BSC,15694,1026314
2023-10-23 00:00:00.000,Base,15576,229455
2023-10-23 00:00:00.000,Optimism,10218,1542089
2023-10-23 00:00:00.000,Polygon,20744,2500913
2023-10-30 00:00:00.000,Arbitrum,19956,2556611
2023-10-30 00:00:00.000,Avalanche,2823,90992
2023-10-30 00:00:00.000,BSC,18870,1045184
2023-10-30 00:00:00.000,Base,13559,243014
2023-10-30 00:00:00.000,Optimism,9906,1551995
2023-10-30 00:00:00.000,Polygon,31913,2532826
2023-11-06 00:00:00.000,Arbitrum,21947,2578558
2023-11-06 00:00:00.000,Avalanche,3745,94737
2023-11-06 00:00:00.000,BSC,20955,1066139
2023-11-06 00:00:00.000,Base,10585,253599
2023-11-06 00:00:00.000,Optimism,10955,1562950
2023-11-06 00:00:00.000,Polygon,20376,2553202
2023-11-13 00:00:00.000,Arbitrum,21426,2599984
2023-11-13 00:00:00.000,Avalanche,6424,101161
2023-11-13 00:00:00.000,BSC,26201,1092340
2023-11-13 00:00:00.000,Base,11332,264931
2023-11-13 00:00:00.000,Optimism,8959,1571909
2023-11-13 00:00:00.000,Polygon,26977,2580179
2023-11-20 00:00:00.000,Arbitrum,21301,2621285
2023-11-20 00:00:00.000,Avalanche,6193,107354
2023-11-20 00:00:00.000,BSC,28462,1120802
2023-11-20 00:00:00.000,Base,11264,276195
2023-11-20 00:00:00.000,Optimism,9901,1581810
2023-11-20 00:00:00.000,Polygon,27502,2607681
2023-11-27 00:00:00.000,Arbitrum,19475,2640760
2023-11-27 00:00:00.000,Avalanche,6253,113607
2023-11-27 00:00:00.000,BSC,29862,1150664
2023-11-27 00:00:00.000,Base,10328,286523
2023-11-27 00:00:00.000,Optimism,13830,1595640
2023-11-27 00:00:00.000,Polygon,23873,2631554
2023-12-04 00:00:00.000,Arbitrum,25892,2666652
2023-12-04 00:00:00.000,Avalanche,6821,120428
2023-12-04 00:00:00.000,BSC,65531,1216195
2023-12-04 00:00:00.000,Base,10774,297297
2023-12-04 00:00:00.000,Optimism,13222,1608862
2023-12-04 00:00:00.000,Polygon,25645,2657199
2023-12-11 00:00:00.000,Arbitrum,19803,2686455
2023-12-11 00:00:00.000,Avalanche,6734,127162
2023-12-11 00:00:00.000,BSC,45929,1262124
2023-12-11 00:00:00.000,Base,12491,309788
2023-12-11 00:00:00.000,Optimism,12117,1620979
2023-12-11 00:00:00.000,Polygon,31624,2688823
2023-12-18 00:00:00.000,Arbitrum,29049,2715504
2023-12-18 00:00:00.000,Avalanche,4693,131855
2023-12-18 00:00:00.000,BSC,44801,1306925
2023-12-18 00:00:00.000,Base,12510,322298
2023-12-18 00:00:00.000,Optimism,14177,1635156
2023-12-18 00:00:00.000,Polygon,43027,2731850
2023-12-25 00:00:00.000,Arbitrum,37537,2753041
2023-12-25 00:00:00.000,Avalanche,7449,139304
2023-12-25 00:00:00.000,BSC,50132,1357057
2023-12-25 00:00:00.000,Base,14517,336815
2023-12-25 00:00:00.000,Optimism,17421,1652577
2023-12-25 00:00:00.000,Polygon,43719,2775569
2024-01-01 00:00:00.000,Arbitrum,26201,2779242
2024-01-01 00:00:00.000,Avalanche,5600,144904
2024-01-01 00:00:00.000,BSC,37489,1394546
2024-01-01 00:00:00.000,Base,12196,349011
2024-01-01 00:00:00.000,Optimism,14113,1666690
2024-01-01 00:00:00.000,Polygon,36164,2811733
2024-01-08 00:00:00.000,Arbitrum,27226,2806468
2024-01-08 00:00:00.000,Avalanche,5200,150104
2024-01-08 00:00:00.000,BSC,37296,1431842
2024-01-08 00:00:00.000,Base,12242,361253
2024-01-08 00:00:00.000,Optimism,15030,1681720
2024-01-08 00:00:00.000,Polygon,34058,2845791
2024-01-15 00:00:00.000,Arbitrum,16059,2822527
2024-01-15 00:00:00.000,Avalanche,2894,152998
2024-01-15 00:00:00.000,BSC,24851,1456693
2024-01-15 00:00:00.000,Base,5996,367249
2024-01-15 00:00:00.000,Optimism,7667,1689387
2024-01-15 00:00:00.000,Polygon,21958,2867749
﻿
